Nodo,Authority,Authority (%),Hub,Hub (%)
2,0.1891,18.91,0.0021,0.21
0,0.1407,14.07,0.001,0.1
1,0.1383,13.83,0.0021,0.21
80,0.0214,2.14,0.0224,2.24
20,0.0212,2.12,0.0192,1.92
50,0.021,2.1,0.0214,2.14
90,0.0145,1.45,0.0122,1.22
3,0.0133,1.33,0.0092,0.92
30,0.0118,1.18,0.0086,0.86
99,0.0101,1.01,0.0127,1.27
85,0.0101,1.01,0.0116,1.16
81,0.0094,0.94,0.0116,1.16
67,0.0092,0.92,0.0129,1.29
41,0.009,0.9,0.0085,0.85
51,0.009,0.9,0.0085,0.85
15,0.0085,0.85,0.0091,0.91
71,0.0085,0.85,0.0116,1.16
55,0.0083,0.83,0.0089,0.89
21,0.008,0.8,0.0086,0.86
34,0.008,0.8,0.0003,0.03
25,0.008,0.8,0.0095,0.95
11,0.0077,0.77,0.0086,0.86
65,0.0074,0.74,0.0085,0.85
95,0.0058,0.58,0.0116,1.16
68,0.0054,0.54,0.0116,1.16
91,0.0051,0.51,0.0116,1.16
76,0.0051,0.51,0.0116,1.16
45,0.005,0.5,0.009,0.9
77,0.0049,0.49,0.0116,1.16
75,0.0049,0.49,0.0122,1.22
96,0.0049,0.49,0.0116,1.16
74,0.0049,0.49,0.0116,1.16
73,0.0049,0.49,0.0116,1.16
72,0.0049,0.49,0.0116,1.16
78,0.0049,0.49,0.0116,1.16
69,0.0049,0.49,0.0116,1.16
70,0.0049,0.49,0.0203,2.03
79,0.0049,0.49,0.0126,1.26
98,0.0049,0.49,0.0119,1.19
86,0.0049,0.49,0.0116,1.16
94,0.0049,0.49,0.0117,1.17
93,0.0049,0.49,0.0116,1.16
92,0.0049,0.49,0.0116,1.16
89,0.0049,0.49,0.0122,1.22
87,0.0049,0.49,0.0116,1.16
88,0.0049,0.49,0.0116,1.16
84,0.0049,0.49,0.0119,1.19
97,0.0049,0.49,0.0116,1.16
83,0.0049,0.49,0.0116,1.16
82,0.0049,0.49,0.0116,1.16
10,0.0041,0.41,0.0184,1.84
26,0.004,0.4,0.0086,0.86
46,0.0038,0.38,0.0085,0.85
4,0.0038,0.38,0.0086,0.86
16,0.0038,0.38,0.0086,0.86
56,0.0037,0.37,0.0085,0.85
61,0.0036,0.36,0.0085,0.85
66,0.0036,0.36,0.0093,0.93
64,0.0036,0.36,0.0087,0.87
63,0.0036,0.36,0.0085,0.85
62,0.0036,0.36,0.0085,0.85
6,0.0036,0.36,0.0086,0.86
60,0.0036,0.36,0.0085,0.85
5,0.0036,0.36,0.0086,0.86
31,0.0036,0.36,0.0086,0.86
29,0.0036,0.36,0.0091,0.91
28,0.0036,0.36,0.0086,0.86
27,0.0036,0.36,0.0086,0.86
24,0.0036,0.36,0.0089,0.89
23,0.0036,0.36,0.0086,0.86
22,0.0036,0.36,0.0086,0.86
19,0.0036,0.36,0.0097,0.97
59,0.0036,0.36,0.0085,0.85
18,0.0036,0.36,0.0086,0.86
17,0.0036,0.36,0.0086,0.86
14,0.0036,0.36,0.0089,0.89
13,0.0036,0.36,0.0086,0.86
12,0.0036,0.36,0.0086,0.86
9,0.0036,0.36,0.0087,0.87
8,0.0036,0.36,0.0086,0.86
32,0.0036,0.36,0.0086,0.86
33,0.0036,0.36,0.0097,0.97
47,0.0036,0.36,0.0085,0.85
48,0.0036,0.36,0.0085,0.85
58,0.0036,0.36,0.0085,0.85
57,0.0036,0.36,0.0085,0.85
54,0.0036,0.36,0.0088,0.88
7,0.0036,0.36,0.0086,0.86
52,0.0036,0.36,0.0085,0.85
49,0.0036,0.36,0.0095,0.95
53,0.0036,0.36,0.0085,0.85
44,0.0036,0.36,0.0086,0.86
43,0.0036,0.36,0.0085,0.85
42,0.0036,0.36,0.0085,0.85
40,0.0036,0.36,0.0214,2.14
39,0.0036,0.36,0.0085,0.85
38,0.0036,0.36,0.0085,0.85
37,0.0036,0.36,0.0085,0.85
35,0.0001,0.01,0.0,0.0
36,0.0,0.0,0.0085,0.85
