Nodo,PR_Standard,PR_Ottimizzato,Perc_Standard (%),Perc_Ottimizzato (%)
1,0.103094,0.081896,10.31,8.19
0,0.093911,0.087803,9.39,8.78
2,0.075047,0.094771,7.5,9.48
45,0.060417,0.050023,6.04,5.0
80,0.056177,0.051073,5.62,5.11
55,0.048948,0.030078,4.89,3.01
25,0.037282,0.030009,3.73,3.0
10,0.029235,0.025208,2.92,2.52
15,0.028229,0.025705,2.82,2.57
95,0.023948,0.0259,2.39,2.59
46,0.018618,0.004552,1.86,0.46
20,0.018596,0.009516,1.86,0.95
65,0.016483,0.007078,1.65,0.71
56,0.015369,0.004162,1.54,0.42
3,0.014791,0.005318,1.48,0.53
90,0.012173,0.008878,1.22,0.89
26,0.012063,0.004858,1.21,0.49
96,0.011678,0.004846,1.17,0.48
81,0.01105,0.00415,1.11,0.42
16,0.009498,0.004858,0.95,0.49
47,0.009413,0.005134,0.94,0.51
66,0.008505,0.010899,0.85,1.09
57,0.008032,0.005134,0.8,0.51
11,0.007712,0.004372,0.77,0.44
50,0.00686,0.00415,0.69,0.42
99,0.006754,0.008829,0.68,0.88
27,0.006627,0.00583,0.66,0.58
97,0.006463,0.004846,0.65,0.48
82,0.006196,0.004846,0.62,0.48
30,0.006078,0.006996,0.61,0.7
67,0.005823,0.00415,0.58,0.42
4,0.005691,0.004858,0.57,0.49
17,0.005537,0.00583,0.55,0.58
48,0.0055,0.005134,0.55,0.51
91,0.004949,0.00415,0.49,0.42
58,0.004913,0.005134,0.49,0.51
12,0.004778,0.00583,0.48,0.58
34,0.004724,0.01117,0.47,1.12
21,0.004661,0.00415,0.47,0.42
36,0.004482,0.017562,0.45,1.76
28,0.004316,0.00583,0.43,0.58
98,0.004247,0.00415,0.42,0.42
83,0.004133,0.004846,0.41,0.48
31,0.004083,0.00583,0.41,0.58
5,0.003919,0.00583,0.39,0.58
18,0.003853,0.00583,0.39,0.58
49,0.003838,0.00415,0.38,0.42
85,0.00362,0.00679,0.36,0.68
92,0.003603,0.004846,0.36,0.48
59,0.003588,0.005134,0.36,0.51
13,0.003531,0.00583,0.35,0.58
35,0.003508,0.011253,0.35,1.13
22,0.003481,0.00583,0.35,0.58
37,0.003405,0.005134,0.34,0.51
29,0.003334,0.005334,0.33,0.53
84,0.003257,0.00415,0.33,0.42
32,0.003235,0.00583,0.32,0.58
6,0.003165,0.00583,0.32,0.58
68,0.00315,0.00415,0.31,0.42
19,0.003138,0.004714,0.31,0.47
86,0.003039,0.004846,0.3,0.48
93,0.003031,0.004846,0.3,0.48
60,0.003025,0.005134,0.3,0.51
14,0.003,0.00415,0.3,0.42
23,0.002979,0.00583,0.3,0.58
51,0.002958,0.00415,0.3,0.42
38,0.002947,0.005134,0.29,0.51
33,0.002875,0.010812,0.29,1.08
7,0.002845,0.00583,0.28,0.58
69,0.002839,0.004846,0.28,0.48
87,0.002791,0.004846,0.28,0.48
94,0.002788,0.00415,0.28,0.42
61,0.002786,0.005134,0.28,0.51
24,0.002766,0.00415,0.28,0.42
52,0.002757,0.005134,0.28,0.51
39,0.002752,0.005134,0.28,0.51
8,0.002709,0.00583,0.27,0.58
70,0.002706,0.00415,0.27,0.42
88,0.002686,0.004846,0.27,0.48
62,0.002684,0.005134,0.27,0.51
53,0.002672,0.005134,0.27,0.51
40,0.00267,0.004742,0.27,0.47
9,0.002651,0.00415,0.27,0.42
89,0.002642,0.004351,0.26,0.44
63,0.002641,0.005134,0.26,0.51
54,0.002635,0.00415,0.26,0.42
64,0.002622,0.004308,0.26,0.43
75,0.002598,0.007712,0.26,0.77
74,0.002582,0.004846,0.26,0.48
79,0.00258,0.00415,0.26,0.42
44,0.002567,0.00415,0.26,0.42
73,0.002547,0.004846,0.25,0.48
78,0.002541,0.004846,0.25,0.48
43,0.002511,0.005134,0.25,0.51
72,0.002463,0.004846,0.25,0.48
77,0.00245,0.004846,0.25,0.48
42,0.002379,0.005134,0.24,0.51
71,0.002267,0.00415,0.23,0.42
76,0.002236,0.00415,0.22,0.42
41,0.002067,0.00415,0.21,0.42
