Nodo,PageRank,Percentuale (%)
1,0.2588,25.88
2,0.2526,25.26
0,0.2475,24.75
61,0.0045,0.45
71,0.0043,0.43
91,0.0043,0.43
81,0.0043,0.43
72,0.004,0.4
92,0.0039,0.39
62,0.0039,0.39
82,0.0039,0.39
63,0.0038,0.38
67,0.0038,0.38
87,0.0038,0.38
94,0.0037,0.37
74,0.0037,0.37
89,0.0037,0.37
78,0.0037,0.37
84,0.0037,0.37
69,0.0037,0.37
54,0.0037,0.37
83,0.0037,0.37
58,0.0037,0.37
73,0.0037,0.37
68,0.0037,0.37
77,0.0036,0.36
93,0.0036,0.36
79,0.0036,0.36
76,0.0036,0.36
88,0.0036,0.36
97,0.0036,0.36
64,0.0036,0.36
56,0.0036,0.36
59,0.0036,0.36
99,0.0036,0.36
52,0.0036,0.36
98,0.0035,0.35
55,0.0035,0.35
66,0.0035,0.35
53,0.0035,0.35
57,0.0035,0.35
86,0.0035,0.35
96,0.0034,0.34
51,0.0032,0.32
85,0.0027,0.27
65,0.0027,0.27
95,0.0026,0.26
75,0.0026,0.26
3,0.0015,0.15
4,0.0015,0.15
5,0.0015,0.15
6,0.0015,0.15
7,0.0015,0.15
8,0.0015,0.15
9,0.0015,0.15
10,0.0015,0.15
11,0.0015,0.15
12,0.0015,0.15
13,0.0015,0.15
14,0.0015,0.15
15,0.0015,0.15
16,0.0015,0.15
17,0.0015,0.15
18,0.0015,0.15
19,0.0015,0.15
20,0.0015,0.15
21,0.0015,0.15
22,0.0015,0.15
23,0.0015,0.15
24,0.0015,0.15
25,0.0015,0.15
26,0.0015,0.15
27,0.0015,0.15
28,0.0015,0.15
29,0.0015,0.15
30,0.0015,0.15
31,0.0015,0.15
32,0.0015,0.15
33,0.0015,0.15
34,0.0015,0.15
35,0.0015,0.15
36,0.0015,0.15
37,0.0015,0.15
38,0.0015,0.15
39,0.0015,0.15
40,0.0015,0.15
41,0.0015,0.15
42,0.0015,0.15
43,0.0015,0.15
44,0.0015,0.15
45,0.0015,0.15
46,0.0015,0.15
47,0.0015,0.15
48,0.0015,0.15
49,0.0015,0.15
50,0.0015,0.15
60,0.0015,0.15
70,0.0015,0.15
80,0.0015,0.15
90,0.0015,0.15
