Source,Target
0,1
1,2
2,0
3,0
3,1
4,1
4,2
5,2
5,0
6,0
6,1
7,1
7,2
8,2
8,0
9,0
9,1
10,1
10,2
11,2
11,0
12,0
12,1
13,1
13,2
14,2
14,0
15,0
15,1
16,1
16,2
17,2
17,0
18,0
18,1
19,1
19,2
20,2
20,0
21,0
21,1
22,1
22,2
23,2
23,0
24,0
24,1
25,1
25,2
26,2
26,0
27,0
27,1
28,1
28,2
29,2
29,0
30,0
30,1
31,1
31,2
32,2
32,0
33,0
33,1
34,1
34,2
35,2
35,0
36,0
36,1
37,1
37,2
38,2
38,0
39,0
39,1
40,1
40,2
41,2
41,0
42,0
42,1
43,1
43,2
44,2
44,0
45,0
45,1
46,1
46,2
47,2
47,0
48,0
48,1
49,1
49,2
50,2
50,0
51,0
51,52
52,1
52,53
53,2
53,54
54,0
54,55
55,1
55,56
56,2
56,57
57,0
57,58
58,1
58,59
59,2
59,60
60,0
60,1
60,2
60,52
60,57
60,73
60,85
60,94
61,1
61,62
62,2
62,63
63,0
63,64
64,1
64,65
65,2
65,66
66,0
66,67
67,1
67,68
68,2
68,69
69,0
69,70
70,0
70,1
70,2
70,54
70,63
70,78
70,88
70,97
71,2
71,72
72,0
72,73
73,1
73,74
74,2
74,75
75,0
75,76
76,1
76,77
77,2
77,78
78,0
78,79
79,1
79,80
80,0
80,1
80,2
80,51
80,66
80,72
80,83
80,91
81,0
81,82
82,1
82,83
83,2
83,84
84,0
84,85
85,1
85,86
86,2
86,87
87,0
87,88
88,1
88,89
89,2
89,90
90,0
90,1
90,2
90,55
90,68
90,76
90,82
90,99
91,1
91,92
92,2
92,93
93,0
93,94
94,1
94,95
95,2
95,96
96,0
96,97
97,1
97,98
98,2
98,99
99,0
99,51
