Nodo,PR_Standard,PR_Ottimizzato,Perc_Standard (%),Perc_Ottimizzato (%)
1,0.266232,0.266247,26.62,26.62
0,0.266117,0.266126,26.61,26.61
2,0.26586,0.265866,26.59,26.59
52,0.00307,0.003054,0.31,0.31
55,0.003048,0.003043,0.3,0.3
51,0.003036,0.003034,0.3,0.3
54,0.002976,0.002973,0.3,0.3
57,0.002968,0.002964,0.3,0.3
78,0.002946,0.002949,0.29,0.29
99,0.002946,0.002964,0.29,0.3
68,0.002944,0.002941,0.29,0.29
85,0.002926,0.002929,0.29,0.29
88,0.002917,0.002907,0.29,0.29
97,0.002909,0.002912,0.29,0.29
76,0.002907,0.002906,0.29,0.29
66,0.002899,0.002895,0.29,0.29
94,0.002825,0.002829,0.28,0.28
83,0.002812,0.002815,0.28,0.28
73,0.002809,0.002811,0.28,0.28
53,0.002805,0.002798,0.28,0.28
56,0.002795,0.00279,0.28,0.28
58,0.002761,0.002762,0.28,0.28
79,0.002752,0.002759,0.28,0.28
69,0.002751,0.002756,0.28,0.28
86,0.002743,0.00274,0.27,0.27
89,0.00274,0.002744,0.27,0.27
77,0.002736,0.002731,0.27,0.27
98,0.002736,0.002727,0.27,0.27
67,0.002732,0.002734,0.27,0.27
95,0.002701,0.002701,0.27,0.27
84,0.002695,0.002689,0.27,0.27
74,0.002694,0.00269,0.27,0.27
63,0.002692,0.002694,0.27,0.27
59,0.002674,0.002671,0.27,0.27
80,0.00267,0.002674,0.27,0.27
70,0.002669,0.002663,0.27,0.27
87,0.002666,0.002661,0.27,0.27
90,0.002664,0.002671,0.27,0.27
96,0.002648,0.002647,0.26,0.26
75,0.002645,0.002644,0.26,0.26
64,0.002644,0.002636,0.26,0.26
60,0.002636,0.002643,0.26,0.26
65,0.002624,0.002624,0.26,0.26
93,0.00246,0.002461,0.25,0.25
82,0.002421,0.002408,0.24,0.24
72,0.002421,0.002405,0.24,0.24
92,0.002258,0.002262,0.23,0.23
62,0.002138,0.002128,0.21,0.21
91,0.001784,0.001788,0.18,0.18
10,0.0015,0.001502,0.15,0.15
3,0.0015,0.0015,0.15,0.15
61,0.0015,0.001499,0.15,0.15
71,0.0015,0.001495,0.15,0.15
81,0.0015,0.001494,0.15,0.15
4,0.0015,0.001502,0.15,0.15
5,0.0015,0.001501,0.15,0.15
11,0.0015,0.001501,0.15,0.15
6,0.0015,0.0015,0.15,0.15
30,0.0015,0.0015,0.15,0.15
29,0.0015,0.001501,0.15,0.15
28,0.0015,0.001502,0.15,0.15
27,0.0015,0.0015,0.15,0.15
26,0.0015,0.001501,0.15,0.15
25,0.0015,0.001502,0.15,0.15
24,0.0015,0.0015,0.15,0.15
23,0.0015,0.001501,0.15,0.15
22,0.0015,0.001502,0.15,0.15
21,0.0015,0.0015,0.15,0.15
20,0.0015,0.001501,0.15,0.15
19,0.0015,0.001502,0.15,0.15
18,0.0015,0.0015,0.15,0.15
17,0.0015,0.001501,0.15,0.15
16,0.0015,0.001502,0.15,0.15
15,0.0015,0.0015,0.15,0.15
14,0.0015,0.001501,0.15,0.15
13,0.0015,0.001502,0.15,0.15
12,0.0015,0.0015,0.15,0.15
31,0.0015,0.001502,0.15,0.15
32,0.0015,0.001501,0.15,0.15
33,0.0015,0.0015,0.15,0.15
44,0.0015,0.001501,0.15,0.15
7,0.0015,0.001502,0.15,0.15
8,0.0015,0.001501,0.15,0.15
9,0.0015,0.0015,0.15,0.15
49,0.0015,0.001502,0.15,0.15
48,0.0015,0.0015,0.15,0.15
47,0.0015,0.001501,0.15,0.15
46,0.0015,0.001502,0.15,0.15
45,0.0015,0.0015,0.15,0.15
43,0.0015,0.001502,0.15,0.15
34,0.0015,0.001502,0.15,0.15
42,0.0015,0.0015,0.15,0.15
41,0.0015,0.001501,0.15,0.15
40,0.0015,0.001502,0.15,0.15
39,0.0015,0.0015,0.15,0.15
38,0.0015,0.001501,0.15,0.15
37,0.0015,0.001502,0.15,0.15
36,0.0015,0.0015,0.15,0.15
35,0.0015,0.001501,0.15,0.15
50,0.0015,0.001501,0.15,0.15
