Nodo,PR_Standard,PR_Ottimizzato,Perc_Standard (%),Perc_Ottimizzato (%)
0,0.090603,0.090609,9.06,9.06
2,0.089604,0.089603,8.96,8.96
1,0.086579,0.086579,8.66,8.66
10,0.060158,0.060161,6.02,6.02
85,0.060157,0.060159,6.02,6.02
35,0.060156,0.06016,6.02,6.02
60,0.060156,0.060158,6.02,6.02
12,0.015328,0.01533,1.53,1.53
87,0.015327,0.015329,1.53,1.53
37,0.015327,0.015329,1.53,1.53
62,0.015327,0.015327,1.53,1.53
11,0.012709,0.01271,1.27,1.27
86,0.012709,0.012708,1.27,1.27
61,0.012708,0.012707,1.27,1.27
36,0.012708,0.012708,1.27,1.27
88,0.009444,0.009443,0.94,0.94
13,0.009444,0.009444,0.94,0.94
38,0.009443,0.009443,0.94,0.94
63,0.009443,0.009442,0.94,0.94
14,0.008519,0.008519,0.85,0.85
64,0.008518,0.00852,0.85,0.85
39,0.008518,0.00852,0.85,0.85
89,0.008518,0.008519,0.85,0.85
65,0.006589,0.00659,0.66,0.66
90,0.006589,0.006588,0.66,0.66
40,0.006589,0.006587,0.66,0.66
15,0.006589,0.006587,0.66,0.66
91,0.005781,0.00578,0.58,0.58
16,0.005781,0.00578,0.58,0.58
66,0.00578,0.005784,0.58,0.58
41,0.00578,0.005778,0.58,0.58
92,0.005005,0.005002,0.5,0.5
67,0.005005,0.005009,0.5,0.5
42,0.005005,0.005001,0.5,0.5
17,0.005005,0.005002,0.5,0.5
18,0.004556,0.004552,0.46,0.46
43,0.004556,0.004551,0.46,0.46
93,0.004556,0.004552,0.46,0.46
68,0.004556,0.004559,0.46,0.46
94,0.004209,0.004201,0.42,0.42
19,0.004209,0.004201,0.42,0.42
44,0.004209,0.004198,0.42,0.42
69,0.004209,0.004209,0.42,0.42
20,0.003983,0.003977,0.4,0.4
70,0.003983,0.003989,0.4,0.4
95,0.003983,0.003978,0.4,0.4
45,0.003983,0.003975,0.4,0.4
96,0.003821,0.003815,0.38,0.38
46,0.003821,0.003812,0.38,0.38
71,0.003821,0.003828,0.38,0.38
21,0.003821,0.003815,0.38,0.38
47,0.003711,0.003703,0.37,0.37
72,0.003711,0.003718,0.37,0.37
22,0.003711,0.003705,0.37,0.37
97,0.003711,0.003704,0.37,0.37
48,0.003634,0.003627,0.36,0.36
98,0.003634,0.00363,0.36,0.36
23,0.003634,0.003629,0.36,0.36
73,0.003634,0.003643,0.36,0.36
74,0.003581,0.003591,0.36,0.36
99,0.003581,0.003577,0.36,0.36
24,0.003581,0.003576,0.36,0.36
49,0.003581,0.003573,0.36,0.36
76,0.003544,0.003543,0.35,0.35
75,0.003544,0.003558,0.35,0.36
25,0.003544,0.003545,0.35,0.35
50,0.003544,0.003538,0.35,0.35
51,0.003519,0.003533,0.35,0.35
26,0.003519,0.003515,0.35,0.35
3,0.003519,0.003522,0.35,0.35
77,0.003519,0.00352,0.35,0.35
52,0.003501,0.003512,0.35,0.35
27,0.003501,0.003498,0.35,0.35
4,0.003501,0.003502,0.35,0.35
78,0.003501,0.003499,0.35,0.35
53,0.003489,0.003495,0.35,0.35
5,0.003489,0.003489,0.35,0.35
79,0.003489,0.003487,0.35,0.35
28,0.003489,0.003483,0.35,0.35
6,0.003481,0.003481,0.35,0.35
29,0.003481,0.003477,0.35,0.35
80,0.003481,0.00348,0.35,0.35
54,0.003481,0.003489,0.35,0.35
30,0.003475,0.003473,0.35,0.35
81,0.003475,0.003477,0.35,0.35
7,0.003475,0.003477,0.35,0.35
55,0.003475,0.003484,0.35,0.35
82,0.003471,0.003473,0.35,0.35
31,0.003471,0.003474,0.35,0.35
8,0.003471,0.003474,0.35,0.35
56,0.003471,0.003479,0.35,0.35
57,0.003468,0.003474,0.35,0.35
32,0.003468,0.00347,0.35,0.35
83,0.003468,0.003471,0.35,0.35
9,0.003468,0.003469,0.35,0.35
84,0.003466,0.003467,0.35,0.35
58,0.003466,0.003471,0.35,0.35
33,0.003466,0.003469,0.35,0.35
34,0.003465,0.003466,0.35,0.35
59,0.003465,0.003466,0.35,0.35
