Nodo,PageRank,Percentuale (%)
1,0.2662,26.62
0,0.2661,26.61
2,0.2659,26.59
52,0.0031,0.31
55,0.003,0.3
51,0.003,0.3
54,0.003,0.3
57,0.003,0.3
78,0.0029,0.29
99,0.0029,0.29
68,0.0029,0.29
85,0.0029,0.29
88,0.0029,0.29
97,0.0029,0.29
76,0.0029,0.29
66,0.0029,0.29
94,0.0028,0.28
83,0.0028,0.28
73,0.0028,0.28
53,0.0028,0.28
56,0.0028,0.28
58,0.0028,0.28
79,0.0028,0.28
69,0.0028,0.28
86,0.0027,0.27
89,0.0027,0.27
98,0.0027,0.27
77,0.0027,0.27
67,0.0027,0.27
95,0.0027,0.27
84,0.0027,0.27
74,0.0027,0.27
63,0.0027,0.27
59,0.0027,0.27
80,0.0027,0.27
70,0.0027,0.27
87,0.0027,0.27
90,0.0027,0.27
96,0.0026,0.26
75,0.0026,0.26
64,0.0026,0.26
60,0.0026,0.26
65,0.0026,0.26
93,0.0025,0.25
72,0.0024,0.24
82,0.0024,0.24
92,0.0023,0.23
62,0.0021,0.21
91,0.0018,0.18
3,0.0015,0.15
4,0.0015,0.15
5,0.0015,0.15
6,0.0015,0.15
7,0.0015,0.15
8,0.0015,0.15
9,0.0015,0.15
10,0.0015,0.15
11,0.0015,0.15
12,0.0015,0.15
13,0.0015,0.15
14,0.0015,0.15
15,0.0015,0.15
16,0.0015,0.15
17,0.0015,0.15
18,0.0015,0.15
19,0.0015,0.15
20,0.0015,0.15
21,0.0015,0.15
22,0.0015,0.15
23,0.0015,0.15
24,0.0015,0.15
25,0.0015,0.15
26,0.0015,0.15
27,0.0015,0.15
28,0.0015,0.15
29,0.0015,0.15
30,0.0015,0.15
31,0.0015,0.15
32,0.0015,0.15
33,0.0015,0.15
34,0.0015,0.15
35,0.0015,0.15
36,0.0015,0.15
37,0.0015,0.15
38,0.0015,0.15
39,0.0015,0.15
40,0.0015,0.15
41,0.0015,0.15
42,0.0015,0.15
43,0.0015,0.15
44,0.0015,0.15
45,0.0015,0.15
46,0.0015,0.15
47,0.0015,0.15
48,0.0015,0.15
49,0.0015,0.15
50,0.0015,0.15
61,0.0015,0.15
71,0.0015,0.15
81,0.0015,0.15
